dynamic_dns_domains,isDynDNS
*from-ia.com,True
*from-id.com,True
*from-il.com,True
*from-in.com,True
*from-ks.com,True
*from-ky.com,True
*from-la.net,True
*from-ma.com,True
*from-md.com,True
*from-me.org,True
*from-mi.com,True
*from-mn.com,True
*from-mo.com,True
*from-ms.com,True
*from-mt.com,True
*from-nc.com,True
*from-nd.com,True
*from-ne.com,True
*from-nh.com,True
*from-nj.com,True
*from-nm.com,True
*from-nv.com,True
*from-ny.net,True
*from-oh.com,True
*from-ok.com,True
*from-or.com,True
*from-pa.com,True
*from-pr.com,True
*from-ri.com,True
*from-sc.com,True
*from-sd.com,True
*from-tn.com,True
*from-tx.com,True
*from-ut.com,True
*from-va.com,True
*from-vt.com,True
*from-wa.com,True
*from-wi.com,True
*from-wv.com,True
*from-wy.com,True
*ftp21.net,True
*ftpaccess.cc,True
*fuettertdasnetz.de,True
*game-host.org,True
*game-server.cc,True
*gaming.cx,True
*geekgalaxy.com,True
*getmyip.com,True
*gets-it.net,True
*gg.gy,True
*gicp.net,True
*glf777.com,True
*glx.nl,True
*go2ip.cn,True
*gogoblog.net,True
*golffan.us,True
*gotdns.com,True
*gotdns.name,True
*gotdns.org,True
*gotgeeks.com,True
*groks-the.info,True
*groks-this.info,True
*gv.vg,True
*h1.ru,True
*h10.ru,True
*h11.ru,True
*h12.ru,True
*h13.ru,True
*h14.ru,True
*h15.ru,True
*h16.ru,True
*h17.ru,True
*h18.ru,True
*h19.ru,True
*h1x.com,True
*ham-radio-op.net,True
*health-carereform.com,True
*here-for-more.info,True
*herobo.com,True
*hicp.net,True
*hk.ms,True
*hk.tc,True
*hobby-site.com,True
*hobby-site.org,True
*holm.ru,True
*homedns.org,True
*homeftp.net,True
*homeftp.org,True
*homeip.net,True
*homelinux.com,True
*homelinux.net,True
*homelinux.org,True
*homesecuritymac.com,True
*homesecuritypc.com,True
*homeunix.com,True
*homeunix.net,True
*homeunix.org,True
*hop.ru,True
*hopto.me,True
*hopto.org,True
*host22.com,True
*host56.com,True
*hostei.com,True
*hostoi.com,True
*hostzi.com,True
*hot.ai,True
*ht.cx,True
*http01.com,True
*http80.info,True
*https443.com,True
*hu.tc,True
*iamallama.com,True
*ibiz.cc,True
*ie.tc,True
*iego.cn,True
*iego.net,True
*iego.org,True
*ift.cs,True
*ift.cx,True
*ift.fr,True
*igg.biz,True
*igg.cc,True
*iicp.net,True
*ilovecollege.info,True
*imap01.com,True
*imwork.net,True
*in-the-band.net,True
*info.br.ms,True
*info.br.tc,True
*info.ms,True
*infos.st,True
*int.tc,True
*int.tf,True
*invaliddns.com,True
*ip.ne.kr,True
*ip.or.kr,True
*ipupdate.org,True
*is-a-anarchist.com,True
*is-a-blogger.com,True
*is-a-bookkeeper.com,True
*is-a-bruinsfan.org,True
*is-a-bulls-fan.com,True
*is-a-caterer.com,True
*is-a-celticsfan.org,True
*is-a-chef.com,True
*is-a-chef.net,True
*is-a-chef.org,True
*is-a-conservative.com,True
*is-a-cpa.com,True
*is-a-democrat.com,True
*is-a-designer.com,True
*is-a-doctor.com,True
*is-a-financialadvisor.com,True
*is-a-geek.com,True
*is-a-geek.net,True
*is-a-geek.org,True
*is-a-green.com,True
*is-a-guru.com,True
*is-a-hard-worker.com,True
*is-a-hunter.com,True
*is-a-knight.org,True
*is-a-landscaper.com,True
*is-a-lawyer.com,True
*is-a-liberal.com,True
*is-a-libertarian.com,True
*is-a-linux-user.org,True
*is-a-llama.com,True
*is-a-nascarfan.com,True
*is-a-nurse.com,True
*is-a-painter.com,True
*is-a-patsfan.org,True
*is-a-personaltrainer.com,True
*is-a-photographer.com,True
*is-a-player.com,True
*is-a-republican.com,True
*is-a-socialist.com,True
*is-a-soxfan.org,True
*is-a-student.com,True
*is-a-teacher.com,True
*is-a-techie.com,True
*is-a-therapist.com,True
*is-an-accountant.com,True
*is-an-actor.com,True
*is-an-actress.com,True
*is-an-anarchist.com,True
*is-an-artist.com,True
*is-an-engineer.com,True
*is-an-entertainer.com,True
*is-by.us,True
*is-certified.com,True
*is-found.org,True
*is-gone.com,True
*is-into-anime.com,True
*is-into-cars.com,True
*is-into-games.com,True
*is-leet.com,True
*is-lost.org,True
*is-not-certified.com,True
*is-saved.org,True
*is-uberleet.com,True
*is-very-bad.org,True
*is-very-evil.org,True
*is-very-good.org,True
*is-very-nice.org,True
*is-very-sweet.org,True
*is-with-theband.com,True
*isa-geek.com,True
*isa-geek.net,True
*isa-geek.org,True
*isa-hockeynut.com,True
*isgre.at,True
*issmarterthanyou.com,True
*isteingeek.de,True
*isthebe.st,True
*istmein.de,True
*it-geek.net,True
*it.tc,True
*iz.rs,True
*jelev.eu,True
*jesais.fr,True
*jtefaisla.biz,True
*kicks-ass.net,True
*kicks-ass.org,True
*kmddns.com,True
*kmddns.net,True
*kmdns.net,True
*kmip.net,True
*kmras.com,True
*knowsitall.info,True
*kr.tc,True
*kwik.to,True
*lacheun.com,True
*lachezvos.com,True
*land-4-sale.us,True
*lebtimnetz.de,True
*leitungsen.de,True
*likes-pie.com,True
*likescandy.com,True
*linux-site.net,True
*linux.ne.kr,True
*listhop.com,True
*listhop.org,True
*liznsteve.com,True
*loginto.me,True
*lookin.at,True
*lowestprices.at,True
*lyoko.eu,True
*mailhop.biz,True
*mailhop.info,True
*mailhop.org,True
*mattemon.info,True
*me.uk.tc,True
*merseine.nu,True
*mine.nu,True
*misconfused.org,True
*mlbfan.org,True
*mm.am,True
*mmafan.biz,True
*monbe.be,True
*mx.tc,True
*myactivedirectory.com,True
*mydissent.net,True
*mydyndns.biz,True
*mydyndns.com,True
*mydyndns.info,True
*mydyndns.net,True
*mydyndns.org,True
*dyndns.org,True
*myeffect.net,True
*myftp.biz,True
*myftp.org,True
*myfw.us,True
*myhome.tv,True
*myip.org,True
*mymediapc.net,True
*mypets.ws,True
*myphotos.cc,True
*mypsx.net,True
*myredirect.us,True
*mysecuritycamera.com,True
*mysecuritycamera.net,True
*mysecuritycamera.org,True
*mysq1.net,True
*myvnc.com,True
*n10.nl,True
*nce.name,True
*neat-url.com,True
*net-freaks.com,True
*net.br.ms,True
*net.br.tc,True
*net.ms,True
*net.tc,True
*net.tf,True
*net.ua,True
*net16.net,True
*net23.net,True
*net46.net,True
*net63.net,True
*net76.net,True
*net78.net,True
*net84.net,True
*netai.net,True
*netau.net,True
*netii.net,True
*nflfan.org,True
*nhlfan.net,True
*nl-web.com,True
*nl-web.net,True
*nl.af,True
*nl.ai,True
*nl.am,True
*nl.gy,True
*no-ip.be,True
*no-ip.biz,True
*no-ip.ca,True
*no-ip.co.uk,True
*no-ip.com,True
*no-ip.fr,True
*no-ip.info,True
*no-ip.net,True
*no-ip.org,True
*no.tc,True
*noc.su,True
*noip.me,True
*noip.us,True
*ns360.info,True
*ntdll.net,True
*nut.cc,True
*nvn.me,True
*oaksteadnewsletter.com,True
*of.cm,True
*office-on-the.net,True
*oicp.net,True
*ole32.com,True
*on-the-web.tv,True
*onthenetas.com,True
*ontheweb.nu,True
*oray.com,True
*org.br.ms,True
*org.br.tc,True
*org.uk.tc,True
*osa.pl,True
*oueb.eu,True
*passas.us,True
*passinggas.net,True
*perl.sh,True
*pgafan.net,True
*ph.tc,True
*picp.net,True
*pitcairn.pn,True
*pl.tc,True
*pl.tf,True
*pn,True
*podzone.net,True
*podzone.org,True
*point2this.com,True
*pointto.us,True
*poppop.com,True
*portrelay.com,True
*pourle.net,True
*pp.ua,True
*privatizehealthinsurance.net,True
*pro.tc,True
*qc.cx,True
*qicp.net,True
*quicksytes.com,True
*read-books.org,True
*readmyblog.org,True
*recursivedns.com,True
*recursivedns.net,True
*recursivedns.org,True
*redirectme.net,True
*regdomains.com,True
*row.name,True
*rr.nu,True
*ru.tc,True
*ru.tf,True
*sarl.tk,True
*saves-the-whales.com,True
*scieron.com,True
*scrapper-site.net,True
*scrapping.cc,True
*scriptkiddie.net,True
*se.tc,True
*sec-dns.net,True
*secondary.net,True
*secretregistration.com,True
*secretregistration.info,True
*secretregistration.net,True
*secretregistration.org,True
*securityexploits.com,True
*securitytactics.com,True
*selfhost.nl,True
*selfip.biz,True
*selfip.com,True
*selfip.info,True
*selfip.net,True
*selfip.org,True
*sells-for-less.com,True
*sells-for-u.com,True
*sells-it.net,True
*sellsyourhome.org,True
*servebbs.com,True
*servebbs.net,True
*servebbs.org,True
*servebeer.com,True
*serveblog.net,True
*servecounterstrike.com,True
*serveexchange.com,True
*serveftp.net,True
*serveftp.org,True
*servegame.com,True
*servegame.org,True
*servehalflife.com,True
*servehttp.com,True
*servehumour.com,True
*servemp3.com,True
*servep2p.com,True
*servepics.com,True
*servequake.com,True
*server.ne.kr,True
*serverftp.com,True
*serverthuis.com,True
*serverthuis.nl,True
*servesarcasm.com,True
*sg.tf,True
*sge.me,True
*shacknet.nu,True
*shop.ms,True
*shop.tc,True
*simple-url.com,True
*site11.com,True
*site40.net,True
*site50.net,True
*site88.net,True
*site90.com,True
*site90.net,True
*sitelutions.com,True
*slx.nl,True
*slyip.com,True
*slyip.net,True
*smallbizdns.com,True
*smallbizdns.org,True
*smartdots.com,True
*space-to-rent.com,True
*sql01.com,True
*ssh01.com,True
*ssh22.net,True
*stuff-4-sale.org,True
*stuff-4-sale.us,True
*stufftoread.com,True
*stx.nl,True
*suroot.com,True
*sytes.net,True
*tc,True
*teaches-yoga.com,True
*tftpd.net,True
*th.tc,True
*thruhere.net,True
*thuisserver.com,True
*ticp.net,True
*tk,True
*tld.cc,True
*tlddns.biz,True
*tlddns.com,True
*tlddns.info,True
*tlddns.net,True
*tlddns.org,True
*tomdaly.org,True
*totoblog.com,True
*totoblog.net,True
*traeumtgerade.de,True
*ttl60.com,True
*ttl60.org,True
*ua.tc,True
*ufcfan.org,True
*ufdns.com,True
*uglyas.com,True
*uicp.cn,True
*uicp.net,True
*uk.tc,True
*uni.cc,True
*uni.me,True
*unix.ne.kr,True
*unlimitedmb.com,True
*unonic.com,True
*unusualperson.com,True
*uphero.com,True
*us.ms,True
*us.tc,True
*us.tf,True
*usa.cc,True
*user32.com,True
*vacau.com,True
*ven.bz,True
*venez.fr,True
*vicp.cc,True
*vicp.co,True
*vicp.hk,True
*vicp.net,True
*viens.la,True
*vindme.nl,True
*voip01.com,True
*vu.cx,True
*vv.cc,True
*web44.net,True
*webatu.com,True
*webege.com,True
*webhop.biz,True
*webhop.info,True
*webhop.me,True
*webhop.net,True
*webhop.org,True
*webmypc.com,True
*webuda.com,True
*wicp.net,True
*wikion.com,True
*wikisite.net,True
*wo.tc,True
*workisboring.com,True
*worse-than.tv,True
*wow64.net,True
*writesthisblog.com,True
*ww.ai,True
*xana.fr,True
*xicp.cn,True
*xicp.net,True
*xl.cx,True
*xxl.st,True
*yicp.net,True
*za.net,True
*za.org,True
*za.pl,True
*zapto.org,True
*ze.cx,True
*ze.tc,True
*zeg.cc,True
*zicp.net,True
*zik.dj,True
*publicvm.com,True
*linkpc.net,True
*51mypc.net,True
*51vip.biz,True
*8005566.net,True
*dnsoray.com,True
*exhera.com,True
*faseng.com,True
*hskrc.com,True
*imbbs.in,True
*imblog.in,True
*imshop.in,True
*imzone.in,True
*olivemail.cn,True
*olivemail.org,True
*oray.cn,True
*oray.com.cn,True
*oray.in,True
*oray.org,True
*oraydns.net,True
*orgaea.com,True
*orhebe.com,True
*orleto.com,True
*payor.net,True
*tudu.cn,True
*tudu.com,True
*tudu.net,True
*vavic.cn,True
*vavic.com,True
*vavic.net,True
*vavic.org,True
*vicp.in,True
*voeos.com,True
*vothea.com,True
*yctou.com,True
*bounceme.net,True
*codns.com,True
*craftx.biz,True
*ddnd.net,True
*ddnsking.com,True
*ddns.me,True
*ddns.net,True
*dns.net,True
*duckdns.com,True
*duckdns.org,True
*dynu.com,True
*dynu.net,True
*f4m.kr,True
*fkrekddns.net,True
*freeddns.org,True
*gotdns.ch,True
*hopoto.org,True
*hopto.net,True
*hopto.org,True
*hotop.org,True
*kro.kr,True
*linkpc.net,True
*mftp.org,True
*myddns.me,True
*myftp.biz,True
*myftp.org,True
*mypsx.net,True
*myq-see.com,True
*myvnc.com,True
*no-ip.biz,True
*no-ip.org,True
*oa.to,True
*onthewifi.com,True
*publicvm.com,True
*razorpass.tk,True
*redirectme.net,True
*r-e.kr,True
*servebeer.com,True
*serveblog.net,True
*serveftp.com,True
*servegame.com,True
*serveirc.com,True
*serveminecraft.net,True
*sytes.net,True
*webhop.me,True
*ydns.eu,True
*zapto.org,True
*ze.am,True
